openalex_id,in_scope,author_openalex_id,author_name,author_position,author_order,institution_openalex_id,institution_name,city,country,country_code,ror_id,latitude,longitude,raw_affiliation_text,manual_review,notes
https://openalex.org/W2221448138,false,https://openalex.org/A5091227928,Maoguo Gong,first,1,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi’an, China | Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W2221448138,false,https://openalex.org/A5072790694,Jiaojiao Zhao,middle,2,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi’an, China | Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W2221448138,false,https://openalex.org/A5100625089,Jia Liu,middle,3,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi’an, China | Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W2221448138,false,https://openalex.org/A5007404362,Qiguang Miao,middle,4,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"School of Computer Science and Technology, Xidian University, Xi’an, China | School of Computer Science and Technology, Xidian University, Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W2221448138,false,https://openalex.org/A5050630882,Licheng Jiao,last,5,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi’an, China | Key Laboratory of Intelligent Perception and Image Understanding, Ministry of Education, Xidian University, Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W1964069486,false,https://openalex.org/A5091227928,Maoguo Gong,first,1,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi’an, China. gong@ieee.org | Key Lab. of Intell. Perception & Image Understanding of Minist. of Educ., Xidian Univ., Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W1964069486,false,https://openalex.org/A5029710781,Zhiqiang Zhou,middle,2,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi'an, China | Key Lab. of Intell. Perception & Image Understanding of Minist. of Educ., Xidian Univ., Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W1964069486,false,https://openalex.org/A5007754848,Jingjing Ma,last,3,https://openalex.org/I149594827,Xidian University,,,CN,05s92vm98,,,"Key Laboratory of Intelligent Perception and Image Understanding of Ministry of Education, Xidian University, Xi'an, China | Key Lab. of Intell. Perception & Image Understanding of Minist. of Educ., Xidian Univ., Xi'an, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W3173170759,false,https://openalex.org/A5010996866,Amreen Abbas,first,1,https://openalex.org/I91277730,Maulana Azad National Institute of Technology,,,IN,026vtd268,,,"Maulana Azad National Institute of Technology, Bhopal, MP 462003, India",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W3173170759,false,https://openalex.org/A5043071085,Sweta Jain,middle,2,https://openalex.org/I91277730,Maulana Azad National Institute of Technology,,,IN,026vtd268,,,"Maulana Azad National Institute of Technology, Bhopal, MP 462003, India",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
