openalex_id,in_scope,author_openalex_id,author_name,author_position,author_order,institution_openalex_id,institution_name,city,country,country_code,ror_id,latitude,longitude,raw_affiliation_text,manual_review,notes
https://openalex.org/W4402915983,true,https://openalex.org/A5085769320,Davide Cozzolino,first,1,https://openalex.org/I4210117450,Federico II University Hospital,,,IT,02jr6tp70,,,University Federico II of Naples,true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4402915983,true,https://openalex.org/A5081981044,Giovanni Poggi,middle,2,https://openalex.org/I4210117450,Federico II University Hospital,,,IT,02jr6tp70,,,University Federico II of Naples,true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4402915983,true,https://openalex.org/A5048938490,Riccardo Corvi,middle,3,https://openalex.org/I4210117450,Federico II University Hospital,,,IT,02jr6tp70,,,University Federico II of Naples,true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4402915983,true,https://openalex.org/A5088583491,Matthias Nießner,middle,4,https://openalex.org/I62916508,Technical University of Munich,,,DE,02kkvpp62,,,Technical University of Munich,true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4402915983,true,https://openalex.org/A5080842029,Luisa Verdoliva,last,5,https://openalex.org/I4210117450,Federico II University Hospital,,,IT,02jr6tp70,,,University Federico II of Naples,true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4388820663,true,https://openalex.org/A5064061658,Ziyi Xi,first,1,https://openalex.org/I157773358,Sun Yat-sen University,,,CN,0064kty71,,,"Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4388820663,true,https://openalex.org/A5103170948,Wenmin Huang,middle,2,https://openalex.org/I157773358,Sun Yat-sen University,,,CN,0064kty71,,,"Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4388820663,true,https://openalex.org/A5038676203,Kangkang Wei,middle,3,https://openalex.org/I157773358,Sun Yat-sen University,,,CN,0064kty71,,,"Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4388820663,true,https://openalex.org/A5102785655,Weiqi Luo,middle,4,https://openalex.org/I157773358,Sun Yat-sen University,,,CN,0064kty71,,,"Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
https://openalex.org/W4388820663,true,https://openalex.org/A5069998992,Peijia Zheng,last,5,https://openalex.org/I157773358,Sun Yat-sen University,,,CN,0064kty71,,,"Sun Yat-sen University,GuangDong Province Key Laboratory of Information Security Technology,GuangZhou,China | GuangDong Province Key Laboratory of Information Security Technology, Sun Yat-sen University, GuangZhou, China",true,"Automatically extracted OpenAlex authorship/affiliation candidate; verify the author, institution, and location manually."
