paper_id,title,existing_doi,matched_arxiv_id,arxiv_url,match_basis,confidence,action,note
W4402915983,Raising the Bar of AI-generated Image Detection with CLIP,10.1109/cvprw63382.2024.00439,2312.00195,https://arxiv.org/abs/2312.00195,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W4388820663,AI-Generated Image Detection using a Cross-Attention Enhanced Dual-Stream Network,10.1109/apsipaasc58517.2023.10317126,2306.07005,https://arxiv.org/abs/2306.07005,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W639708223,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,10.1109/tpami.2016.2577031,1506.01497,https://arxiv.org/abs/1506.01497,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W4390873235,DIRE for Diffusion-Generated Image Detection,10.1109/iccv51070.2023.02051,2303.09295,https://arxiv.org/abs/2303.09295,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W2981036610,Combining Noise-to-Image and Image-to-Image GANs: Brain MR Image Augmentation for Tumor Detection,10.1109/access.2019.2947606,1905.13456,https://arxiv.org/abs/1905.13456,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W4392453284,A siamese-based verification system for open-set architecture attribution of synthetic images,10.1016/j.patrec.2024.03.002,2307.09822,https://arxiv.org/abs/2307.09822,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W3143336910,Artificial Fingerprinting for Generative Models: Rooting Deepfake Attribution in Training Data,10.1109/iccv48922.2021.01418,2007.08457,https://arxiv.org/abs/2007.08457,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W2343052201,Synthetic Data for Text Localisation in Natural Images,10.1109/cvpr.2016.254,1604.06646,https://arxiv.org/abs/1604.06646,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W4375869427,On The Detection of Synthetic Images Generated by Diffusion Models,10.1109/icassp49357.2023.10095167,2211.00680,https://arxiv.org/abs/2211.00680,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W4405845641,Exploring the Adversarial Robustness of CLIP for AI-generated Image Detection,10.1109/wifs61860.2024.10810719,2407.19553,https://arxiv.org/abs/2407.19553,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W4413145917,A Bias-Free Training Paradigm for More General AI-generated Image Detection,10.1109/cvpr52734.2025.01741,2412.17671,https://arxiv.org/abs/2412.17671,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W3038930935,Deepfakes and beyond: A Survey of face manipulation and fake detection,10.1016/j.inffus.2020.06.014,2001.00179,https://arxiv.org/abs/2001.00179,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
W3106250896,SSD: Single Shot MultiBox Detector,,1512.02325,https://arxiv.org/abs/1512.02325,exact_title_author,medium,needs_review,Author overlap 0.714; automatic threshold is 0.800.
W2109255472,Spatial Pyramid Pooling in Deep Convolutional Networks for Visual Recognition,10.1109/tpami.2015.2389824,1406.4729,https://arxiv.org/abs/1406.4729,exact_title_author,high,skipped,Already linked; author overlap 1.000 confirms the local preprint pair.
