title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
No Detector to Rule Them All,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'No Detector to Rule Them All': Could not fetch https://api.openalex.org/works?search=No+Detector+to+Rule+Them+All&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?': Could not fetch https://api.openalex.org/works?search=Organic+or+Diffused%3A+Can+We+Distinguish+Human+Art+from+AI-generated+Images%3F&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Organic or Diffused Can We Distinguish Human Art from AI-generated Images': Could not fetch https://api.openalex.org/works?search=Organic+or+Diffused+Can+We+Distinguish+Human+Art+from+AI-generated+Images&sort=relevance_score%3Adesc&per-page=10: HTTP 429
RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'RAID: A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors': Could not fetch https://api.openalex.org/works?search=RAID%3A+A+Dataset+for+Testing+the+Adversarial+Robustness+of+AI-Generated+Image+Detectors&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'RAID A Dataset for Testing the Adversarial Robustness of AI-Generated Image Detectors': Could not fetch https://api.openalex.org/works?search=RAID+A+Dataset+for+Testing+the+Adversarial+Robustness+of+AI-Generated+Image+Detectors&sort=relevance_score%3Adesc&per-page=10: HTTP 429
RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'RealHD: A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images': Could not fetch https://api.openalex.org/works?search=RealHD%3A+A+High-Quality+Dataset+for+Robust+Detection+of+State-of-the-Art+AI-Generated+Images&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'RealHD A High-Quality Dataset for Robust Detection of State-of-the-Art AI-Generated Images': Could not fetch https://api.openalex.org/works?search=RealHD+A+High-Quality+Dataset+for+Robust+Detection+of+State-of-the-Art+AI-Generated+Images&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Rich and Poor Texture Contrast: A Simple yet Effective Approach for AI-generated Image Detection': Could not fetch https://api.openalex.org/works?search=Rich+and+Poor+Texture+Contrast%3A+A+Simple+yet+Effective+Approach+for+AI-generated+Image+Detection&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Rich and Poor Texture Contrast A Simple yet Effective Approach for AI-generated Image Detection': Could not fetch https://api.openalex.org/works?search=Rich+and+Poor+Texture+Contrast+A+Simple+yet+Effective+Approach+for+AI-generated+Image+Detection&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Rich and Poor Texture Contrast': Could not fetch https://api.openalex.org/works?search=Rich+and+Poor+Texture+Contrast&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Sanitizing Diffusion-Generated Images via Fingerprint Removal and Adversarial Perturbation for Forensic Evasion': Could not fetch https://api.openalex.org/works?search=Sanitizing+Diffusion-Generated+Images+via+Fingerprint+Removal+and+Adversarial+Perturbation+for+Forensic+Evasion&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Stealthdiffusion: Towards evading diffusion forensic detection through diffusion model': Could not fetch https://api.openalex.org/works?search=Stealthdiffusion%3A+Towards+evading+diffusion+forensic+detection+through+diffusion+model&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Stealthdiffusion Towards evading diffusion forensic detection through diffusion model': Could not fetch https://api.openalex.org/works?search=Stealthdiffusion+Towards+evading+diffusion+forensic+detection+through+diffusion+model&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Towards the Detection of Diffusion Model Deepfakes cite: 100+ Ruhr University Bochum': Could not fetch https://api.openalex.org/works?search=Towards+the+Detection+of+Diffusion+Model+Deepfakes+cite%3A+100%2B+Ruhr+University+Bochum&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Towards the Detection of Diffusion Model Deepfakes Ruhr University Bochum': Could not fetch https://api.openalex.org/works?search=Towards+the+Detection+of+Diffusion+Model+Deepfakes+Ruhr+University+Bochum&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Towards the Detection of Diffusion Model Deepfakes cite': Could not fetch https://api.openalex.org/works?search=Towards+the+Detection+of+Diffusion+Model+Deepfakes+cite&sort=relevance_score%3Adesc&per-page=10: HTTP 429
UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization,2025,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'UniAIDet: A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization': Could not fetch https://api.openalex.org/works?search=UniAIDet%3A+A+Unified+and+Universal+Benchmark+for+AI-Generated+Image+Content+Detection+and+Localization&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'UniAIDet A Unified and Universal Benchmark for AI-Generated Image Content Detection and Localization': Could not fetch https://api.openalex.org/works?search=UniAIDet+A+Unified+and+Universal+Benchmark+for+AI-Generated+Image+Content+Detection+and+Localization&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content,2025,query_failed,,,,,,,,,,"OpenAlex retry queries failed: 'Where’s the liability in the Generative Era? Recovery-based Black-Box Detection of AI-Generated Content': Could not fetch https://api.openalex.org/works?search=Where%E2%80%99s+the+liability+in+the+Generative+Era%3F+Recovery-based+Black-Box+Detection+of+AI-Generated+Content&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | ""Where's the liability in the Generative Era Recovery-based Black-Box Detection of AI-Generated Content"": Could not fetch https://api.openalex.org/works?search=Where%27s+the+liability+in+the+Generative+Era+Recovery-based+Black-Box+Detection+of+AI-Generated+Content&sort=relevance_score%3Adesc&per-page=10: HTTP 429"
AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'AEROBLADE: Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error': Could not fetch https://api.openalex.org/works?search=AEROBLADE%3A+Training-Free+Detection+of+Latent+Diffusion+Images+Using+Autoencoder+Reconstruction+Error&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'AEROBLADE Training-Free Detection of Latent Diffusion Images Using Autoencoder Reconstruction Error': Could not fetch https://api.openalex.org/works?search=AEROBLADE+Training-Free+Detection+of+Latent+Diffusion+Images+Using+Autoencoder+Reconstruction+Error&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Are CLIP features all you need for Universal Synthetic Image Origin Attribution?,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Are CLIP features all you need for Universal Synthetic Image Origin Attribution?': Could not fetch https://api.openalex.org/works?search=Are+CLIP+features+all+you+need+for+Universal+Synthetic+Image+Origin+Attribution%3F&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Are CLIP features all you need for Universal Synthetic Image Origin Attribution': Could not fetch https://api.openalex.org/works?search=Are+CLIP+features+all+you+need+for+Universal+Synthetic+Image+Origin+Attribution&sort=relevance_score%3Adesc&per-page=10: HTTP 429
CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'CLIPping the Deception: Adapting Vision-Language Models for Universal Deepfake Detection': Could not fetch https://api.openalex.org/works?search=CLIPping+the+Deception%3A+Adapting+Vision-Language+Models+for+Universal+Deepfake+Detection&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'CLIPping the Deception Adapting Vision-Language Models for Universal Deepfake Detection': Could not fetch https://api.openalex.org/works?search=CLIPping+the+Deception+Adapting+Vision-Language+Models+for+Universal+Deepfake+Detection&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Contrasting Deepfakes Diffusion via Contrastive Learning and Global-Local Similarities': Could not fetch https://api.openalex.org/works?search=Contrasting+Deepfakes+Diffusion+via+Contrastive+Learning+and+Global-Local+Similarities&sort=relevance_score%3Adesc&per-page=10: HTTP 429
D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'D4: Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles': Could not fetch https://api.openalex.org/works?search=D4%3A+Detection+of+Adversarial+Diffusion+Deepfakes+Using+Disjoint+Ensembles&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'D4 Detection of Adversarial Diffusion Deepfakes Using Disjoint Ensembles': Could not fetch https://api.openalex.org/works?search=D4+Detection+of+Adversarial+Diffusion+Deepfakes+Using+Disjoint+Ensembles&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Detecting Computer-Generated Images by Using Only Real Images,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Detecting Computer-Generated Images by Using Only Real Images': Could not fetch https://api.openalex.org/works?search=Detecting+Computer-Generated+Images+by+Using+Only+Real+Images&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Detecting Image Attribution for Text-to-Image Diffusion Models in RGB and Beyond': Could not fetch https://api.openalex.org/works?search=Detecting+Image+Attribution+for+Text-to-Image+Diffusion+Models+in+RGB+and+Beyond&sort=relevance_score%3Adesc&per-page=10: HTTP 429
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,query_failed,,,,,,,,,,OpenAlex retry queries failed: 'Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics': Could not fetch https://api.openalex.org/works?search=Did+You+Note+My+Palette%3F+Unveiling+Synthetic+Images+Through+Color+Statistics&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'Did You Note My Palette Unveiling Synthetic Images Through Color Statistics': Could not fetch https://api.openalex.org/works?search=Did+You+Note+My+Palette+Unveiling+Synthetic+Images+Through+Color+Statistics&sort=relevance_score%3Adesc&per-page=10: HTTP 429
"DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection",2024,query_failed,,,,,,,,,,"OpenAlex retry queries failed: 'DistilDIRE: A Small, Fast, Cheap and Lightweight Diffusion Synthesized Deepfake Detection': Could not fetch https://api.openalex.org/works?search=DistilDIRE%3A+A+Small%2C+Fast%2C+Cheap+and+Lightweight+Diffusion+Synthesized+Deepfake+Detection&sort=relevance_score%3Adesc&per-page=10: HTTP 429 | 'DistilDIRE A Small Fast Cheap and Lightweight Diffusion Synthesized Deepfake Detection': Could not fetch https://api.openalex.org/works?search=DistilDIRE+A+Small+Fast+Cheap+and+Lightweight+Diffusion+Synthesized+Deepfake+Detection&sort=relevance_score%3Adesc&per-page=10: HTTP 429"
