title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
Does a GAN leave distinct model-specific fingerprints?,2021,query_failed,,,,,,,,,,OpenAlex queries failed: 'Does a GAN leave distinct model-specific fingerprints?': Could not fetch https://api.openalex.org/works?search=Does+a+GAN+leave+distinct+model-specific+fingerprints%3F&sort=relevance_score%3Adesc&per-page=10: HTTP 400
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,query_failed,,,,,,,,,,OpenAlex queries failed: 'Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery': Could not fetch https://api.openalex.org/works?search=Did+you+use+my+GAN+to+generate+fake%3F+post-hoc+attribution+of+GAN+images+via+latent+recovery&sort=relevance_score%3Adesc&per-page=10: HTTP 400
Open Set Synthetic Image Source Attribution,2023,weak_match,CLIPScore: A Reference-free Evaluation Metric for Image Captioning,2021,0.389,https://openalex.org/W3153469116,https://doi.org/10.18653/v1/2021.emnlp-main.595,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,article,https://doi.org/10.18653/v1/2021.emnlp-main.595,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"Attributing and Detecting Fake Images Generated by Known GANs. SPW, 2020",2020,weak_match,"Adversarial Attacks and Defenses in Images, Graphs and Text: A Review",2020,0.453,https://openalex.org/W2974581576,https://doi.org/10.1007/s11633-019-1211-x,International Journal of Automation and Computing,review,https://doi.org/10.1007/s11633-019-1211-x,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics,2024,query_failed,,,,,,,,,,OpenAlex queries failed: 'Did You Note My Palette? Unveiling Synthetic Images Through Color Statistics': Could not fetch https://api.openalex.org/works?search=Did+You+Note+My+Palette%3F+Unveiling+Synthetic+Images+Through+Color+Statistics&sort=relevance_score%3Adesc&per-page=10: HTTP 400
"Fake-GPT: Detecting Fake Image via Large Language Model. PRCV, 2024",2024,weak_match,VidGuard-R1: AI-Generated Video Detection and Explanation via Reasoning MLLMs and RL,2025,0.391,https://openalex.org/W4414928227,https://doi.org/10.48550/arxiv.2510.02282,ArXiv.org,preprint,http://arxiv.org/abs/2510.02282,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Mixture of Low-rank Experts for Transferable AI-Generated Image Detection,2024,weak_match,A Comprehensive Survey of AI-Generated Content (AIGC): A History of Generative AI from GAN to ChatGPT,2023,0.373,https://openalex.org/W4323706279,https://doi.org/10.48550/arxiv.2303.04226,arXiv (Cornell University),preprint,http://arxiv.org/abs/2303.04226,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Improving Interpretability and Robustness for the Detection of AI-Generated Images,2024,weak_match,Testing of detection tools for AI-generated text,2023,0.533,https://openalex.org/W4390175962,https://doi.org/10.1007/s40979-023-00146-z,International Journal for Educational Integrity,article,https://doi.org/10.1007/s40979-023-00146-z,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
On the Effectiveness of Dataset Alignment for Fake Image Detection,2024,weak_match,Face Alignment in Full Pose Range: A 3D Total Solution,2017,0.437,https://openalex.org/W2265959009,https://doi.org/10.1109/tpami.2017.2778152,IEEE Transactions on Pattern Analysis and Machine Intelligence,article,https://doi.org/10.1109/tpami.2017.2778152,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Towards More Accurate Fake Detection on Images Generated from Advanced Generative and Neural Rendering Models,2024,weak_match,DeepFake Detection for Human Face Images and Videos: A Survey,2022,0.426,https://openalex.org/W4211008685,https://doi.org/10.1109/access.2022.3151186,IEEE Access,article,https://doi.org/10.1109/access.2022.3151186,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Understanding and Improving Training-Free AI-Generated Image Detections with Vision Foundation Models,2024,weak_match,Deep learning-enabled medical computer vision,2021,0.342,https://openalex.org/W3120894151,https://doi.org/10.1038/s41746-020-00376-2,npj Digital Medicine,review,https://doi.org/10.1038/s41746-020-00376-2,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
ImagiNet: A Multi-Content Dataset for Generalizable Synthetic Image Detection via Contrastive Learning,2024,weak_match,ImagiNet: A Multi-Content Benchmark for Synthetic Image Detection,2024,0.709,https://openalex.org/W4402963808,https://doi.org/10.48550/arxiv.2407.20020,arXiv (Cornell University),preprint,http://arxiv.org/abs/2407.20020,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
