title,year,match_status,best_match_title,best_match_year,similarity,openalex_url,doi,publication_venue,publication_type,primary_url,is_retracted,notes
Scalable fine-grained generated image classification based on deep metric learning,2019,yes,Scalable Fine-grained Generated Image Classification Based on Deep Metric Learning,2019,1.030,https://openalex.org/W2997633607,https://doi.org/10.48550/arxiv.1912.11082,arXiv (Cornell University),preprint,http://arxiv.org/abs/1912.11082,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,yes,Leveraging Frequency Analysis for Deep Fake Image Recognition,2020,1.030,https://openalex.org/W3012033723,https://doi.org/10.48550/arxiv.2003.08685,arXiv (Cornell University),preprint,http://arxiv.org/abs/2003.08685,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Does a GAN leave distinct model-specific fingerprints?,2021,query_failed,,,,,,,,,,OpenAlex queries failed: 'Does a GAN leave distinct model-specific fingerprints?': Could not fetch https://api.openalex.org/works?search=Does+a+GAN+leave+distinct+model-specific+fingerprints%3F&sort=relevance_score%3Adesc&per-page=10: HTTP 400
On attribution of deepfakes,2021,yes,On Attribution of Deepfakes,2020,1.010,https://openalex.org/W3134567460,https://doi.org/10.48550/arxiv.2008.09194,arXiv (Cornell University),preprint,http://arxiv.org/abs/2008.09194,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery,2022,query_failed,,,,,,,,,,OpenAlex queries failed: 'Did you use my GAN to generate fake? post-hoc attribution of GAN images via latent recovery': Could not fetch https://api.openalex.org/works?search=Did+you+use+my+GAN+to+generate+fake%3F+post-hoc+attribution+of+GAN+images+via+latent+recovery&sort=relevance_score%3Adesc&per-page=10: HTTP 400
Progressive Open Space Expansion for Open-Set Model Attribution,2023,yes,Progressive Open Space Expansion for Open-Set Model Attribution,2023,1.030,https://openalex.org/W4386075764,https://doi.org/10.1109/cvpr52729.2023.01522,,article,https://doi.org/10.1109/cvpr52729.2023.01522,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,yes,Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,1.030,https://openalex.org/W4385800597,https://doi.org/10.1109/cvprw59228.2023.00102,,article,https://doi.org/10.1109/cvprw59228.2023.00102,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Open Set Synthetic Image Source Attribution,2023,weak_match,CLIPScore: A Reference-free Evaluation Metric for Image Captioning,2021,0.389,https://openalex.org/W3153469116,https://doi.org/10.18653/v1/2021.emnlp-main.595,Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,article,https://doi.org/10.18653/v1/2021.emnlp-main.595,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
"Attributing and Detecting Fake Images Generated by Known GANs. SPW, 2020",2020,weak_match,"Adversarial Attacks and Defenses in Images, Graphs and Text: A Review",2020,0.453,https://openalex.org/W2974581576,https://doi.org/10.1007/s11633-019-1211-x,International Journal of Automation and Computing,review,https://doi.org/10.1007/s11633-019-1211-x,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Detecting and Simulating Artifacts in GAN Fake Images,2019,yes,Detecting and Simulating Artifacts in GAN Fake Images,2019,1.030,https://openalex.org/W3012472557,https://doi.org/10.1109/wifs47025.2019.9035107,,preprint,https://doi.org/10.1109/wifs47025.2019.9035107,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
CNN-generated images are surprisingly easy to spot...for now,2020,yes,CNN-Generated Images Are Surprisingly Easy to Spot… for Now,2020,1.030,https://openalex.org/W3034577585,https://doi.org/10.1109/cvpr42600.2020.00872,,article,https://doi.org/10.1109/cvpr42600.2020.00872,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,yes,Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,1.030,https://openalex.org/W3034864980,https://doi.org/10.1109/cvpr42600.2020.00791,Opus-HSO (Offenburg University of Applied Sciences),article,https://opus.hs-offenburg.de/frontdoor/index/index/docId/4413,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Fourier Spectrum Discrepancies in Deep Network Generated Images,2020,yes,Fourier Spectrum Discrepancies in Deep Network Generated Images,2019,1.010,https://openalex.org/W2985484909,https://doi.org/10.48550/arxiv.1911.06465,arXiv (Cornell University),preprint,http://arxiv.org/abs/1911.06465,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,yes,Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,1.030,https://openalex.org/W3187526215,https://doi.org/10.24963/ijcai.2021/349,,article,https://doi.org/10.24963/ijcai.2021/349,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Detecting Generated Images by Real Images,2022,yes,Detecting Generated Images by Real Images,2022,1.030,https://openalex.org/W4313189772,https://doi.org/10.1007/978-3-031-19781-9_6,Lecture notes in computer science,book-chapter,https://doi.org/10.1007/978-3-031-19781-9_6,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
BiHPF: bilateral high pass filters for robust deepfake detection,2022,yes,BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,2022,1.030,https://openalex.org/W3196551054,https://doi.org/10.1109/wacv51458.2022.00293,2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),article,https://doi.org/10.1109/wacv51458.2022.00293,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,yes,Towards Universal Fake Image Detectors that Generalize Across Generative Models,2023,1.030,https://openalex.org/W4386071953,https://doi.org/10.1109/cvpr52729.2023.02345,,article,https://doi.org/10.1109/cvpr52729.2023.02345,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Detecting Images Generated by Deep Diffusion Models Using Their Local Intrinsic Dimensionality,2023,yes,Detecting Images Generated by Deep Diffusion Models using their Local Intrinsic Dimensionality,2023,1.030,https://openalex.org/W4390191016,https://doi.org/10.1109/iccvw60793.2023.00051,,article,https://doi.org/10.1109/iccvw60793.2023.00051,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Exposing fake images generated by text-to-image diffusion models,2023,yes,Exposing fake images generated by text-to-image diffusion models,2023,1.030,https://openalex.org/W4388002730,https://doi.org/10.1016/j.patrec.2023.10.021,Pattern Recognition Letters,article,https://doi.org/10.1016/j.patrec.2023.10.021,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,yes,Diffusion Noise Feature: Accurate and Fast Generated Image Detection,2023,1.030,https://openalex.org/W4389421609,https://doi.org/10.48550/arxiv.2312.02625,arXiv (Cornell University),preprint,http://arxiv.org/abs/2312.02625,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Detecting Generated Images by Real Images Only,2023,weak_match,ImageJ2: ImageJ for the next generation of scientific image data,2017,0.404,https://openalex.org/W2580035316,https://doi.org/10.1186/s12859-017-1934-z,BMC Bioinformatics,article,https://doi.org/10.1186/s12859-017-1934-z,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,yes,Harnessing the Power of Large Vision Language Models for Synthetic Image Detection,2024,1.030,https://openalex.org/W4393968982,https://doi.org/10.48550/arxiv.2404.02726,arXiv (Cornell University),preprint,http://arxiv.org/abs/2404.02726,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,yes,Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,1.030,https://openalex.org/W4398184526,https://doi.org/10.1145/3665497,ACM Transactions on Multimedia Computing Communications and Applications,article,https://doi.org/10.1145/3665497,false,Best OpenAlex title-search result. Only match_status=yes is eligible for automatic import-ready output.
