paper_id,title,arxiv_id,stored_doi,paper_url,resolved_formal_doi,resolved_formal_url,status,reason
curated:b65aca5f04f1f41ad725,How to Trace Latent Generative Model Generated Images without Artificial Watermark?,2405.13360,10.48550/arxiv.2405.13360,https://openreview.net/pdf?id=TwZ2sY6eJj,,https://openreview.net/pdf?id=TwZ2sY6eJj,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:62b0a9ae8be24d9f02e0,Single-Model Attribution of Generative Models Through Final-Layer Inversion,2306.06210,10.48550/arxiv.2306.06210,https://openreview.net/pdf?id=Hs9GcILuZN,,https://openreview.net/pdf?id=Hs9GcILuZN,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:1f9d168cc6c4c445a231,Orthogonal Subspace Decomposition for Generalizable AI-Generated Image Detection,2411.15633,10.48550/arxiv.2411.15633,https://openreview.net/pdf?id=GFpjO8S8Po,,https://openreview.net/pdf?id=GFpjO8S8Po,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:cf55e35fcf11e09fdd12,Locate-Then-Examine: Grounded Region Reasoning Improves Detection of AI-Generated Images,2510.04225,10.48550/arxiv.2510.04225,https://openaccess.thecvf.com/content/CVPR2026/papers/Ji_Locate-Then-Examine_Grounded_Region_Reasoning_Improves_Detection_of_AI-Generated_Images_CVPR_2026_paper.pdf,,https://openaccess.thecvf.com/content/CVPR2026/papers/Ji_Locate-Then-Examine_Grounded_Region_Reasoning_Improves_Detection_of_AI-Generated_Images_CVPR_2026_paper.pdf,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:4d91354cd919a64a2259,Few-Shot Learner Generalizes Across AI-Generated Image Detection,2501.08763,10.48550/arxiv.2501.08763,https://openreview.net/pdf?id=uvU29AfoNT,,https://openreview.net/pdf?id=uvU29AfoNT,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:31a4d429d7c5750bd778,Spot the Fake: Large Multimodal Model-Based Synthetic Image Detection with Artifact Explanation,2503.14905,10.48550/arxiv.2503.14905,https://openreview.net/pdf?id=xLFYd1owiP,,https://openreview.net/pdf?id=xLFYd1owiP,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:c6bb6e1e0a4d4eb372b5,Seeing is not always believing: Benchmarking Human and Model Perception of AI-Generated Images,2304.13023,10.48550/arxiv.2304.13023,https://proceedings.nips.cc/paper_files/paper/2023/file/505df5ea30f630661074145149274af0-Paper-Datasets_and_Benchmarks.pdf,,https://proceedings.nips.cc/paper_files/paper/2023/file/505df5ea30f630661074145149274af0-Paper-Datasets_and_Benchmarks.pdf,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:0b34eeaa2b4f5b0a7b3b,Aligned Datasets Improve Detection of Latent Diffusion-Generated Images,2410.11835,10.48550/arxiv.2410.11835,https://proceedings.iclr.cc/paper_files/paper/2025/file/9ead108421b202494d01b5060d12aa34-Paper-Conference.pdf,,https://proceedings.iclr.cc/paper_files/paper/2025/file/9ead108421b202494d01b5060d12aa34-Paper-Conference.pdf,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:f158c57190bcd2c8405c,Is Artificial Intelligence Generated Image Detection a Solved Problem?,2505.12335,10.48550/arxiv.2505.12335,https://nips.cc/media/neurips-2025/Slides/121688.pdf,,https://nips.cc/media/neurips-2025/Slides/121688.pdf,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
curated:3fcd3bc4dd2c9d8c3b80,Layer Consistency Matters: Elegant Latent Transition Discrepancy for Generalizable Synthetic Image Detection,2603.10598,https://doi.org/10.48550/arxiv.2603.10598,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_Layer_Consistency_Matters_Elegant_Latent_Transition_Discrepancy_for_Generalizable_Synthetic_CVPR_2026_paper.pdf,,https://openaccess.thecvf.com/content/CVPR2026/papers/Yang_Layer_Consistency_Matters_Elegant_Latent_Transition_Discrepancy_for_Generalizable_Synthetic_CVPR_2026_paper.pdf,needs_review,"Distinct publisher URL exists, but no formal DOI is explicit in curated fields."
