title,year,doi,openalex_url,arxiv_id,match_status,source
On the use of Benford's law to detect GAN-generated images,2020,10.1109/icpr48806.2021.9412944,https://openalex.org/W3161986877,2004.07682,linked_to_arxiv,admin_exact_title_autofill
LAID: Lightweight AI-Generated Image Detection in Spatial and Spectral Domains,2025,10.1109/pst65910.2025.11268874,https://openalex.org/W4416961862,2507.05162,linked_to_arxiv,admin_exact_title_autofill
Organic or Diffused: Can We Distinguish Human Art from AI-generated Images?,2024,10.1145/3658644.3670306,https://openalex.org/W4405181141,2402.03214,linked_to_arxiv,admin_exact_title_autofill
StealthDiffusion: Towards Evading Diffusion Forensic Detection through Diffusion Model,2024,10.1145/3664647.3681535,https://openalex.org/W4403780693,2408.05669,linked_to_arxiv,admin_exact_title_autofill
Towards the Detection of Diffusion Model Deepfakes,2024,10.5220/0012422000003660,https://openalex.org/W4392402304,2210.14571,linked_to_arxiv,admin_exact_title_autofill
Training-free Source Attribution of AI-generated Images via Resynthesis,2025,10.1109/wifs66636.2025.00028,https://openalex.org/W7148430317,2510.24278,linked_to_arxiv,admin_exact_title_autofill
Detecting Multimedia Generated by Large AI Models: A Survey,2024,10.36227/techrxiv.170723324.44685515/v1,https://openalex.org/W4391563741,2402.00045,linked_to_arxiv,admin_exact_title_autofill
MIRAGE: Towards AI-Generated Image Detection in the Wild,2026,10.1609/aaai.v40i7.37421,https://openalex.org/W7137943215,2508.13223,linked_to_arxiv,admin_exact_title_autofill
Beyond Semantic Features: Pixel-level Mapping for Generalized AI-Generated Image Detection,2026,10.1609/aaai.v40i42.40927,https://openalex.org/W7139104673,2512.17350,linked_to_arxiv,admin_exact_title_autofill
Progressive Open Space Expansion for Open-Set Model Attribution,2023,10.1109/cvpr52729.2023.01522,https://openalex.org/W4386075764,2303.06877,linked_to_arxiv,admin_exact_title_autofill
Open Set Classification of GAN-based Image Manipulations via a ViT-based Hybrid Architecture,2023,10.1109/cvprw59228.2023.00102,https://openalex.org/W4385800597,2304.05212,linked_to_arxiv,admin_exact_title_autofill
Detecting and Simulating Artifacts in GAN Fake Images,2019,10.1109/wifs47025.2019.9035107,https://openalex.org/W3012472557,1907.06515,linked_to_arxiv,admin_exact_title_autofill
CNN-Generated Images Are Surprisingly Easy to Spot… for Now,2020,10.1109/cvpr42600.2020.00872,https://openalex.org/W3034577585,1912.11035,linked_to_arxiv,admin_exact_title_autofill
Watch your Up-Convolution: CNN Based Generative Deep Neural Networks are Failing to Reproduce Spectral Distributions,2020,10.1109/cvpr42600.2020.00791,https://openalex.org/W3034864980,2003.01826,linked_to_arxiv,admin_exact_title_autofill
Beyond the Spectrum: Detecting Deepfakes via Re-Synthesis,2021,10.24963/ijcai.2021/349,https://openalex.org/W3187526215,2105.14376,linked_to_arxiv,admin_exact_title_autofill
BiHPF: Bilateral High-Pass Filters for Robust Deepfake Detection,2022,10.1109/wacv51458.2022.00293,https://openalex.org/W3196551054,2109.00911,linked_to_arxiv,admin_exact_title_autofill
Detecting Images Generated by Deep Diffusion Models using their Local Intrinsic Dimensionality,2023,10.1109/iccvw60793.2023.00051,https://openalex.org/W4390191016,2307.02347,linked_to_arxiv,admin_exact_title_autofill
Parents and Children: Distinguishing Multimodal Deepfakes from Natural Images,2024,10.1145/3665497,https://openalex.org/W4398184526,2304.00500,linked_to_arxiv,admin_exact_title_autofill
Robust CLIP-Based Detector for Exposing Diffusion Model-Generated Images,2024,10.1109/avss61716.2024.10672612,https://openalex.org/W4402594796,2404.12908,linked_to_arxiv,admin_exact_title_autofill
TWIGMA: A dataset of AI-Generated Images with Metadata From Twitter,2024,10.5281/zenodo.8031784,https://openalex.org/W4393610334,2306.08310,linked_to_arxiv,admin_exact_title_autofill
Detecting Origin Attribution for Text-to-Image Diffusion Models,2025,10.1109/wacv61041.2025.00850,https://openalex.org/W4409262697,2403.19653,linked_to_arxiv,admin_exact_title_autofill
Transferable Dual-Domain Feature Importance Attack Against AI-Generated Image Detector,2026,10.1109/lsp.2026.3658434,https://openalex.org/W7125951995,2511.15571,linked_to_arxiv,admin_exact_title_autofill
Can GPT tell us why these images are synthesized? Empowering Multimodal Large Language Models for Forensics,2025,10.1145/3733102.3733138,https://openalex.org/W4411378016,2504.11686,linked_to_arxiv,admin_exact_title_autofill
Community Forensics: Using Thousands of Generators to Train Fake Image Detectors,2025,10.1109/cvpr52734.2025.00772,https://openalex.org/W4413155783,2411.04125,linked_to_arxiv,admin_exact_title_autofill
Evolution of Detection Performance Throughout the Online Lifespan of Synthetic Images,2025,10.1007/978-3-031-92648-8_24,https://openalex.org/W4410888267,2408.11541,linked_to_arxiv,admin_exact_title_autofill
C2P-CLIP: Injecting Category Common Prompt in CLIP to Enhance Generalization in Deepfake Detection,2025,https://doi.org/10.1609/aaai.v39i7.32772,https://openalex.org/W4409367167,2408.09647,linked_to_arxiv,admin_exact_title_autofill
FIRE: Robust Detection of Diffusion-Generated Images via Frequency-Guided Reconstruction Error,2025,https://doi.org/10.1109/cvpr52734.2025.01197,https://openalex.org/W4413145084,2412.07140,linked_to_arxiv,admin_exact_title_autofill
OpenSDI: Spotting Diffusion-Generated Images in the Open World,2025,https://doi.org/10.1109/cvpr52734.2025.00405,https://openalex.org/W4413145584,2503.19653,linked_to_arxiv,admin_exact_title_autofill
CO-SPY: Combining Semantic and Pixel Features to Detect Synthetic Images by AI,2025,https://doi.org/10.1109/cvpr52734.2025.01256,https://openalex.org/W4413146055,2503.18286,linked_to_arxiv,admin_exact_title_autofill
